,Top,Título,Año,Duración,Puntuación
0,1,Cadena perpetua,1994,2h 22m,"9,3"
1,2,El padrino,1972,2h 55m,"9,2"
2,3,El caballero oscuro,2008,2h 32m,"9,0"
3,4,El padrino parte II,1974,3h 22m,"9,0"
4,5,12 hombres sin piedad,1957,1h 36m,"9,0"
5,6,El señor de los anillos: El retorno del rey,2003,3h 21m,"9,0"
6,7,La lista de Schindler,1993,3h 15m,"9,0"
7,8,Pulp Fiction,1994,2h 34m,"8,9"
8,9,El señor de los anillos: La comunidad del anillo,2001,2h 58m,"8,9"
9,10,"El bueno, el feo y el malo",1966,3h 2m,"8,8"
10,11,Forrest Gump,1994,2h 22m,"8,8"
11,12,El señor de los anillos: Las dos torres,2002,2h 59m,"8,8"
12,13,El club de la lucha,1999,2h 19m,"8,8"
13,14,Origen,2010,2h 28m,"8,8"
14,15,El imperio contraataca,1980,2h 4m,"8,7"
15,16,Matrix,1999,2h 16m,"8,7"
16,17,Uno de los nuestros,1990,2h 25m,"8,7"
17,18,Alguien voló sobre el nido del cuco,1975,2h 13m,"8,7"
18,19,Interstellar,2014,2h 49m,"8,7"
19,20,Seven,1995,2h 7m,"8,6"
20,21,Qué bello es vivir,1946,2h 10m,"8,6"
21,22,Los siete samuráis,1954,3h 27m,"8,6"
22,23,El silencio de los corderos,1991,1h 58m,"8,6"
23,24,Salvar al soldado Ryan,1998,2h 49m,"8,6"
24,25,Ciudad de Dios,2002,2h 10m,"8,6"
25,26,La milla verde,1999,3h 9m,"8,6"
26,27,La vida es bella,1997,1h 56m,"8,6"
27,28,Terminator 2: El juicio final,1991,2h 17m,"8,6"
28,29,La guerra de las galaxias,1977,2h 1m,"8,6"
29,30,Regreso al futuro,1985,1h 56m,"8,5"
30,31,El viaje de Chihiro,2001,2h 4m,"8,6"
31,32,El pianista,2002,2h 30m,"8,5"
32,33,Gladiator (El gladiador),2000,2h 35m,"8,5"
33,34,Parásitos,2019,2h 12m,"8,5"
34,35,Psicosis,1960,1h 49m,"8,5"
35,36,El rey león,1994,1h 28m,"8,5"
36,37,La tumba de las luciérnagas,1988,1h 28m,"8,5"
37,38,Infiltrados,2006,2h 31m,"8,5"
38,39,Whiplash,2014,1h 46m,"8,5"
39,40,Harakiri,1962,2h 13m,"8,6"
40,41,American History X,1998,1h 59m,"8,5"
41,42,El truco final (El prestigio),2006,2h 10m,"8,5"
42,43,El profesional (Léon),1994,1h 50m,"8,5"
43,44,Spider-Man: Cruzando el multiverso,2023,2h 20m,"8,5"
44,45,Casablanca,1942,1h 42m,"8,5"
45,46,Sospechosos habituales,1995,1h 46m,"8,5"
46,47,Intocable,2011,1h 52m,"8,5"
47,48,Cinema Paradiso,1988,2h 54m,"8,5"
48,49,Tiempos modernos,1936,1h 27m,"8,5"
49,50,"Alien, el octavo pasajero",1979,1h 57m,"8,5"
50,51,La ventana indiscreta,1954,1h 52m,"8,5"
51,52,Hasta que llegó su hora,1968,2h 46m,"8,5"
52,53,Django desencadenado,2012,2h 45m,"8,5"
53,54,Luces de la ciudad,1931,1h 27m,"8,5"
54,55,Apocalypse Now,1979,2h 27m,"8,4"
55,56,Dune: Parte dos,2024,2h 46m,"8,5"
56,57,Memento,2000,1h 53m,"8,4"
57,58,WALL·E,2008,1h 38m,"8,4"
58,59,En busca del arca perdida,1981,1h 55m,"8,4"
59,60,La vida de los otros,2006,2h 17m,"8,4"
60,61,Vengadores: Infinity War,2018,2h 29m,"8,4"
61,62,El crepúsculo de los dioses,1950,1h 50m,"8,4"
62,63,Spider-Man: Un nuevo universo,2018,1h 57m,"8,4"
63,64,Senderos de gloria,1957,1h 28m,"8,4"
64,65,Testigo de cargo,1957,1h 56m,"8,4"
65,66,El resplandor,1980,2h 26m,"8,4"
66,67,El gran dictador,1940,2h 5m,"8,4"
67,68,12th Fail,2023,2h 27m,"8,8"
68,69,Aliens: El regreso,1986,2h 17m,"8,4"
69,70,Malditos bastardos,2009,2h 33m,"8,4"
70,71,El caballero oscuro: La leyenda renace,2012,2h 44m,"8,4"
71,72,Coco,2017,1h 45m,"8,4"
72,73,Amadeus,1984,2h 40m,"8,4"
73,74,Toy Story,1995,1h 21m,"8,3"
74,75,Vengadores: Endgame,2019,3h 1m,"8,4"
75,76,El indomable Will Hunting,1997,2h 6m,"8,3"
76,77,Old Boy,2003,2h,"8,3"
77,78,¿Teléfono rojo? Volamos hacia Moscú,1964,1h 35m,"8,3"
78,79,American Beauty,1999,2h 2m,"8,3"
79,80,El submarino (Das Boot),1981,2h 29m,"8,4"
80,81,Braveheart,1995,2h 58m,"8,3"
81,82,La princesa Mononoke,1997,2h 13m,"8,3"
82,83,Your Name.,2016,1h 46m,"8,4"
83,84,El infierno del odio,1963,2h 23m,"8,4"
84,85,3 Idiots,2009,2h 50m,"8,4"
85,86,Joker,2019,2h 2m,"8,3"
86,87,Érase una vez en América,1984,3h 49m,"8,3"
87,88,Cafarnaúm,2018,2h 6m,"8,4"
88,89,Cantando bajo la lluvia,1952,1h 43m,"8,3"
89,90,Masacre (Ven y mira),1985,2h 22m,"8,3"
90,91,Réquiem por un sueño,2000,1h 42m,"8,3"
91,92,Toy Story 3,2010,1h 43m,"8,3"
92,93,El retorno del jedi,1983,2h 11m,"8,3"
93,94,La caza de Thomas Vinterberg,2012,1h 55m,"8,3"
94,95,Vivir,1952,2h 23m,"8,3"
95,96,¡Olvídate de mí!,2004,1h 48m,"8,3"
96,97,2001: Una odisea del espacio,1968,2h 29m,"8,3"
97,98,Reservoir Dogs,1992,1h 39m,"8,3"
98,99,El apartamento,1960,2h 5m,"8,3"
99,100,Incendios,2010,2h 11m,"8,3"
100,101,Lawrence de Arabia,1962,3h 47m,"8,3"
101,102,El precio del poder,1983,2h 50m,"8,3"
102,103,Perdición,1944,1h 47m,"8,3"
103,104,Con la muerte en los talones,1959,2h 16m,"8,3"
104,105,Heat,1995,2h 50m,"8,3"
105,106,Ciudadano Kane,1941,1h 59m,"8,3"
106,107,Up,2009,1h 36m,"8,3"
107,108,"M, el vampiro de Düsseldorf",1931,1h 57m,"8,3"
108,109,La chaqueta metálica,1987,1h 56m,"8,2"
109,110,Vértigo (De entre los muertos),1958,2h 8m,"8,3"
110,111,Amélie,2001,2h 2m,"8,3"
111,112,"Nader y Simin, una separación",2011,2h 3m,"8,3"
112,113,La naranja mecánica,1971,2h 16m,"8,2"
113,114,Matar a un ruiseñor,1962,2h 9m,"8,3"
114,115,Jungla de cristal,1988,2h 12m,"8,2"
115,116,Taare Zameen Par,2007,2h 42m,"8,3"
116,117,El golpe,1973,2h 9m,"8,3"
117,118,Oppenheimer,2023,3h,"8,3"
118,119,Indiana Jones y la última cruzada,1989,2h 7m,"8,2"
119,120,Metrópolis,1927,2h 33m,"8,3"
120,121,Snatch. Cerdos y diamantes,2000,1h 44m,"8,2"
121,122,1917,2019,1h 59m,"8,2"
122,123,L.A. Confidential,1997,2h 18m,"8,2"
123,124,Ladrón de bicicletas,1948,1h 29m,"8,2"
124,125,El hundimiento,2004,2h 36m,"8,2"
125,126,Dangal,2016,2h 41m,"8,3"
126,127,Taxi Driver,1976,1h 54m,"8,2"
127,128,Hamilton,2020,2h 40m,"8,3"
128,129,El lobo de Wall Street,2013,3h,"8,2"
129,130,Batman Begins,2005,2h 20m,"8,2"
130,131,Green Book,2018,2h 10m,"8,2"
131,132,La muerte tenía un precio,1965,2h 12m,"8,2"
132,133,Vencedores o vencidos,1961,2h 59m,"8,3"
133,134,El show de Truman,1998,1h 43m,"8,2"
134,135,Con faldas y a lo loco,1959,2h 1m,"8,2"
135,136,Shutter Island,2010,2h 18m,"8,2"
136,137,El chico,1921,1h 8m,"8,2"
137,138,El padre,2020,1h 37m,"8,2"
138,139,Eva al desnudo,1950,2h 18m,"8,2"
139,140,Pozos de ambición,2007,2h 38m,"8,2"
140,141,Jurassic Park (Parque Jurásico),1993,2h 7m,"8,2"
141,142,Casino,1995,2h 58m,"8,2"
142,143,El sexto sentido,1999,1h 47m,"8,2"
143,144,Ran,1985,2h 40m,"8,2"
144,145,Top Gun: Maverick,2022,2h 10m,"8,2"
145,146,No es país para viejos,2007,2h 2m,"8,2"
146,147,La cosa (El enigma de otro mundo),1982,1h 49m,"8,2"
147,148,El laberinto del fauno,2006,1h 58m,"8,2"
148,149,Sin perdón,1992,2h 10m,"8,2"
149,150,Una mente maravillosa,2001,2h 15m,"8,2"
150,151,Kill Bill: Volumen 1,2003,1h 51m,"8,2"
151,152,El tesoro de Sierra Madre,1948,2h 6m,"8,2"
152,153,Prisioneros,2013,2h 33m,"8,2"
153,154,Yojimbo,1961,1h 50m,"8,2"
154,155,Buscando a Nemo,2003,1h 40m,"8,2"
155,156,La gran evasión,1963,2h 52m,"8,2"
156,157,El castillo ambulante,2004,1h 59m,"8,2"
157,158,Los caballeros de la mesa cuadrada y sus locos seguidores,1975,1h 31m,"8,2"
158,159,El hombre elefante,1980,2h 4m,"8,2"
159,160,Crimen perfecto,1954,1h 45m,"8,2"
160,161,Lo que el viento se llevó,1939,3h 58m,"8,2"
161,162,Rashomon,1950,1h 28m,"8,2"
162,163,Klaus,2019,1h 36m,"8,2"
163,164,Chinatown,1974,2h 10m,"8,1"
164,165,El secreto de sus ojos,2009,2h 9m,"8,2"
165,166,Lock & Stock,1998,1h 47m,"8,1"
166,167,V de vendetta,2005,2h 12m,"8,1"
167,168,Del revés (Inside Out),2015,1h 35m,"8,1"
168,169,Tres anuncios en las afueras,2017,1h 55m,"8,1"
